Penname,Genre,DetailURL,Space,ImageURL,WebURL,GenreFreeFormat,Name
いっこう,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/24830001,あ01,https://lh3.googleusercontent.com/3HYptOqYpzH0-ZaaG55rG7vk1COYse9e6tcZBX5DlsAilF_67wwOXVVB7oVb5-mRHC1z6Z5QODOVkazRp9-5kQ,,WebXR(Webブラウザで実現するVR並びにAR)の解説本、これまで頒布してきたものが基礎的な内容だったので今回はより具体的な内容を想定しています。,毬栗ロマン（イガグリロマン）
"t_ishida,コンドウアヤ",ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/28360002,あ02,https://lh3.googleusercontent.com/DT5P_6OcobmPWDzVnu1loCAt_DDrcmQ8P2Y5hE3RWoRb6Fx-4dcuA7U3oPP3yQyAXr3FzH-6Jc8_iI5Z_1Pp,http://www.dezapatan.com,体系的なプログラミング制作を目指してPHPで緩く解説しています,いしだけ（イシダケ）
alchemist,科学技術,https:/techbookfest.org/event/tbf05/circle/43220002,あ03,/assets/images/dummy_cut.png,https://alchemists.hatenablog.com/,錬金術MeetUpの目的は「技術で根源に至る」ことです。ここで言う根源とはカネであり、技術のマネタイズを目指し、その知見を共有しています。 本誌では、競馬や株式投資、仮想通貨、サービス運営等を、技術的背景、確率論及び期待値の背景から論じます。,錬金術MeetUp（レンキンジュツミートアップ）
FOLIO,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/27750006,あ04,/assets/images/dummy_cut.png,,デザイン、セキュリティ、Web技術全般に関する技術書,FOLIO Publications（フォリオパブリケーションズ）
カレーちゃん,科学技術,https:/techbookfest.org/event/tbf05/circle/31060003,あ05,https://lh3.googleusercontent.com/Dv6UTD3U85JIIdja8EgLiz8iVS46rh9zA-OfH3QwDuU6MYdP_nDWbr_SoowfMqzOEkhSp733NZYsShc8ZVp4,https://note.mu/currypurin/n/n1ab3b2cb9977,機械学習の内容が中心。kaggleのチュートリアルとkaggleに参加した感想の本を販売します。,データリファインメント（データリファインメント）
SIGCOWWのゆかいな仲間たち,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/37240004,あ06,https://lh3.googleusercontent.com/p8TOW1Wsb9cCQsadMnbCywt3DJtbWhWrGkIwJL1xdsnu9KJ-PtKt_mLapuYCNDTTjayUE3MedWfNxfQHzKFp,https://sigcoww.org/,ごちゃまぜの技術本を出します。主な内容は、「コンピュータネットワーク」「システムソフトウェア」「組合せ最適化」「機械学習」のつもりです。 ,SIGCOWW（シグコウ）
もっこす,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/31060002,あ07,https://lh3.googleusercontent.com/QTaZvrvyRWkaUmfjgYSyAv2wlMNUJDnn3WLcyLOJyBH4pw87VyyJ-NSEvGjMdnj6ZZc97joXzECXQSzcZQ0,http://networkmaniacs.net/circle/,"ネットワーク技術(特にアプリケーション製作者視点のレイヤー3～4)の解説書""NetworkManics""の、TCP受信編が完成して出ているはずです。既刊も1つ持ち込みます。送信編のプレビューリリースか、「ネットワーク以外に使えるネットワーク技術」特集が追加で出ます。",浜風もっこす（ハマカゼモッコス）
"op, yyu",ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/28620001,あ08,https://lh3.googleusercontent.com/JiKrKxKavRByHRkYDlTMOG_9SOebJ39Fo7132zWlG6TUJFj99cdJW0F-wFN_EEd-IdqjOTRs_e-h_yXREph4,https://blog.urandom.team,"コンピューターセキュリティについての同人誌。素因数分解を利用したゲームについての記事や、その他1,2記事を予定。素因数分解ゲームについての内容は次の通り:『量子コンピューターで高速に解けて、古典コンピューターでは高速に解けないが解の検証ができる問題として「素因数分解」がある。 この記事ではアリスとボブの2人だけで、同じ合成数を公平に素因数分解するためのゲームを提案する。』",urandom（ユーランダム）
いなやまふみたか,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/28370001,あ09,https://lh3.googleusercontent.com/p9tffy3jeaVtFmqlITjiKvl3tVdgp18GDTZAJvO-wSHah0v8roNAUIfQBuEdOkM_GcJzNONEFlFP4levxhQ,http://inayama.hatenadiary.jp/,プロジェクトマネジメント 、チームビルディング,東葛飾PM&A研究所（ヒガシカツシカピーエムエンアドエーケンキュウジョ）
"ken5scal(鈴木研吾), bbr_bbq(高江洲勲), 北原憲, wireworkes",ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/49000002,あ10,https://lh3.googleusercontent.com/WZNE2LQK4vUoBTehWuvYmyUC25SJjYnqdlH5hJgnq-4ON43xoIC7E5uY025vb5joa3PstCcg-1M6tR-04lNo,https://secure-brigade.booth.pm/,好きなセキュリティ関連の情報をガンガンアウトプットしていく会,Secure旅団（セキュアリョダン）
