DetailURL,Space,Name,Penname,Genre,ImageURL,WebURL,GenreFreeFormat
https:/techbookfest.org/event/tbf04/circle/21040009,あ01,日経BP出版局（ニッケイビーピーシュッパンキョク）,日経BP出版局,ソフトウェア全般,https://lh3.googleusercontent.com/w3Z6W7FRKg9ODomh6SUwVUecuKAuT_1X6ZbK22s6ywO3ZNa1M5TgrmD14Ft6zRDhpjWPnjc0c2I5RtPk5iXw,ec.nikkeibp.co.jp/nsp/,技術系書籍・ムック・雑誌
https:/techbookfest.org/event/tbf04/circle/20000001,あ02,シス管系女子会（シスカンケイジョシカイ）,Piro,ソフトウェア全般,https://lh3.googleusercontent.com/HwIlWNz4PGKTGdrX_DAc-7NLXzoxO_7nes-EMzRNrCRZjAInQ3q4QIqpnSQU5xd6gH7uhC-6C2g8fipzpmUm3g,http://system-admin-girl.com/,「シス管系女子」は日経Linux誌にて連載中のLinuxコマンド操作＆シェルスクリプト入門解説マンガです。黒い端末の画面恐怖症なかけ出しエンジニアの方や、後輩や新人のコマンド操作に対する苦手意識を取り除きたい先輩エンジニアの方を対象として、現役エンジニアが100%マンガで解説する事をモットーに制作しています。当日は約2年分の連載をまとめた新刊「シス管系女子3」（商業誌）を販売します。sshポート転送やrsyncをなんとなくで使ってるという人でも、ググらなくてもやりたい事を的確にできるようになれます！ 主人公「みんとちゃん」のキャラグッズ的な物も持っていくかも。
https:/techbookfest.org/event/tbf04/circle/16460003,あ03,デル株式会社（デル）,清水博,科学技術,/assets/images/dummy_cut.png,,企業の情報システムを一人で担当する「ひとり情シス」を調査、インタビューして実態を明らかにした冊子です。
https:/techbookfest.org/event/tbf04/circle/11820001,あ04,USP研究所（ユーエスピーケンキュウジョ）,USP研究所,ソフトウェア全般,https://lh3.googleusercontent.com/jpfhLbZdYYmtbJEwtVv6y-XSyQQDF8NV4KEwEt1_3baZ_rGGRC6O3QvIUeqt-86k2lVdAarv9_cr3raJNxIt,https://www.usp-lab.com/pub.html,UNIX、シェルスクリプト、システム開発などを中心に扱った技術書と専門雑誌の販売。「松浦リッチ研究所」からの委託物も販売します。
https:/techbookfest.org/event/tbf04/circle/13980002,あ05,インプレス（インプレス）,impress,ソフトウェア全般,/assets/images/dummy_cut.png,https://book.impress.co.jp/,機械学習やクラウド技術など“IT技術の先端”をテーマにした「impress top gearシリーズ」や、技術者向けWebサイト“Think IT”発の「Think IT Booksシリーズ」など話題の技術解説書を多数販売します！
https:/techbookfest.org/event/tbf04/circle/17520002,あ06,インプレスR&D（インプレスアールアンドディ）,インプレスR&D,ソフトウェア全般,https://lh3.googleusercontent.com/arlU6WLLLNlI1r4eqMiK5kKLxleCol85WVicuNSBbPazOclTqRKi8xaJj7wwi23vasnYtdnx52PeNfIBSaKV,http://nextpublishing.jp/,「技術書典シリーズ」14タイトルと『TensorFlowはじめました』1～3巻を販売予定。
https:/techbookfest.org/event/tbf04/circle/19300002,い01,株式会社ブックウォーカー（ブックウォーカー）,ブックウォーカー,その他,https://lh3.googleusercontent.com/zmXsFeelyxMwu_tnGYBsdmG3Jh1IrDQ-tcAFKzn60SwEQ3DUrt8qvnk-ajGhW7NQN-z__dPgvdiE3Qdd1eEF,https://author.bookwalker.jp/,かんたん電子書籍2018（電子書籍の作り方解説書）、EPUBについての技術書
https:/techbookfest.org/event/tbf04/circle/15510003,い02,株式会社オライリー・ジャパン（オライリー・ジャパン）,オライリー・ジャパン,ソフトウェア全般,https://lh3.googleusercontent.com/9RwQXj8jDQ-seNfU2D7-lRJPlKluqUeaipephA8Vobrwp2k0OnyW6oLix8SXDZ3ofXAO7TJCXRKmcLcZCqas4w,http://www.oreilly.co.jp/ebook/,ここ技術書典から羽ばたき、弊社より商業出版させていただいた『仕事ではじめる機械学習』の凱旋頒布をはじめ、オライリー・ジャパン刊行の新刊書籍、Ebookのオンデマンド版冊子、グッズなどをご用意してお待ちしております！
https:/techbookfest.org/event/tbf04/circle/18390001,い03,翔泳社（ショウエイシャ）,翔泳社書籍販売チーム,ソフトウェア全般,https://lh3.googleusercontent.com/Hz78u-8jZcxz9OTtnvOUVgWkSUZoHbID1_3szEPn8pFwECNVmauE_ESZtG31Ijr5N6lOil3_nfB7N56zo7MC,http://www.shoeisha.co.jp/book,コンピュータ技術書
https:/techbookfest.org/event/tbf04/circle/15540001,い04,CodeZine（コードジン）,CodeZine編集部,ソフトウェア全般,https://lh3.googleusercontent.com/9Iym8tU443hqXI_9mORK7YfZxjBTCKwRIlibrjCOhBP8ifSLvkSHMpqS8YBPe_oyezylRDCRT0PhTA7AxpQ0,http://codezine.jp/,コンピュータ技術書
https:/techbookfest.org/event/tbf04/circle/16430001,い05,マンガでわかるWebデザイン＋Git（マンガデワカルウェブデザインプラスギット）,湊川あい,ソフトウェア全般,https://lh3.googleusercontent.com/Ie-DUodhBEaQssYFIMxtUGS5j-d6OwKT1qygaOpJHSwEHeOv5ZSAKNTyyGGtbZchuGutBOmXQIH5DaZofWL5,http://webdesign-manga.com/,「マンガでわかるDocker」「マンガでわかるScrapbox」「図解でわかるGoogleアナリティクス」やオリジナルキャラクターのグッズの他、商業誌「わかばちゃんと学ぶGoogleアナリティクス」「わかばちゃんと学ぶGit使い方入門」などを頒布します。
https:/techbookfest.org/event/tbf04/circle/10950001,い06,C&R研究所（シーアンドアールケンキュウジョ）,C&R研究所,ソフトウェア全般,https://lh3.googleusercontent.com/2RDUTRv6GOjNbkhj-kGgoMXHpkfJiWhc-Nowkv6tvzrzsmZme5nv3v9ip5MCFt1qgDoH5nl_ZTPJVvT5PJE,http://www.c-r.com/,弊社発刊の技術書
https:/techbookfest.org/event/tbf04/circle/16440005,い07,ラムダノート株式会社（ラムダノートカブシキガイシャ）,ラムダノート株式会社,ソフトウェア全般,https://lh3.googleusercontent.com/Gv-hTsvME8rDI8EjHthlfzSfBYW7qaVN8pr8lQ3usrymDvPHBHIwLwEyYwmiBSlNX09NAL9pq7zuJKJdMUCT,https://www.lambdanote.com/,ネットワーク、プログラミング、組版
https:/techbookfest.org/event/tbf04/circle/12830001,い08,株式会社マイナビ出版（カブシキガイシャマイナビシュッパン）,マイナビ出版書籍編集チーム,ソフトウェア全般,https://lh3.googleusercontent.com/WPL8Y6FvITGxobjzE2-MoEqNq6TK9FZ-onUCdrfH2kZXX4B5vKggHFS1WdIcvA6w0KjuFkg-FQXFEGFJiGTc,https://book.mynavi.jp/,ロボット、機械学習、イラスト技法、ビッグデータ分析
https:/techbookfest.org/event/tbf04/circle/21040003,い09,森北出版（モリキタシュッパン）,森北出版,その他,/assets/images/dummy_cut.png,https://www.morikita.co.jp/,機械学習／Python／ベイズ推論／自作PCクラスタ／ROS／定理証明支援系／Maxima on Android…．話題の最新刊を含むイチ推し書籍を、特別価格にてご紹介します！
https:/techbookfest.org/event/tbf04/circle/14520002,い10,アンテナハウスCAS電子出版（アンテナハウスキャスデンシシュッパン）,CAS,ソフトウェア全般,https://lh3.googleusercontent.com/yM5YlDEH6KVk1nnzfoEACysTZpOdC5rfT8r-0PdvVrna1Yr6a1beg9COK-ZdPou5ZupOkThnM9MN6j1r6_7v,http://www.cas-ub.com/index_ja.html,MathML数式組版入門 Ver 1.1、スタイルシート開発の基礎、XSL-FO の基礎【第2版】、DITAのすすめ【第3版】、PDFインフラストラクチャ解説　第1.1版、タグ付きPDF、PDF CookBook
https:/techbookfest.org/event/tbf04/circle/14700001,い11,ジャストシステム（ジャストシステム）,ジャストシステム有志,ソフトウェア全般,https://lh3.googleusercontent.com/n75wba9Cf-UBP0OAW1QkegFcXjqsIm-0Uuw28Tn2k8gn7T0naouLXlJ6_OTxBKcXhnnjTmzUvXuEWszqfa4g,http://ju-st.jp/tech/bk/,【新刊】技術内閣サーバーアーキテクチャ大臣が説く『サーバーシステム10の心得』、【新刊】ロングセラー商品の開発手法『俺らの一太郎がスパダリのわけがない』（一太郎活用本『本を書く、作る。』付き）を頒布します。
https:/techbookfest.org/event/tbf04/circle/19220001,い12,SOLARSOLFA（ソラソルファ）,藤原惟,ソフトウェア全般,https://lh3.googleusercontent.com/49-P2gJGt55tHA5dqNAWB553eiVUG3CLJ12CmkHOP1l086Hg6FawosqODru-cnE16dIWBiVyL0GR1HmG_w,https://note.solarsolfa.net/m/m0ee0e40a1c72,ライティング・ドキュメンテーション。『Markdownライティング入門』を頒布します。
https:/techbookfest.org/event/tbf04/circle/16640010,い13,ほしがたタイムカプセル（ホシガタタイムカプセル）,くゎ,その他,https://lh3.googleusercontent.com/kvXM58Vugqh1H1OrkU_-uHulTwne-uBeWG_6UNtFMILYWhQtVFmMoeWt9bsf8E7RwLU1-9NM0Q6oWdu_CGic,,視覚障害者等向けデジタル録音図書「DAISY」について。
https:/techbookfest.org/event/tbf04/circle/16650008,い14,エウレカ9（エウレカナイン）,エウレカ9,ソフトウェア全般,https://lh3.googleusercontent.com/1uKqArd9K0TgsE1Pm_2YS1bMSAPcXThq0K1uegbXuAYYuT7lfgJvf9GV4c_0KzhyYWKIFcjh-Fn6_ehXwP0,https://eureka-twelve.tumblr.com/,著者それぞれのテーマで書いたものを一つの本にします
https:/techbookfest.org/event/tbf04/circle/17450001,い15,SKK=さらに かしこく かわいい（エスケーケーハサラニカシコクカワイイ）,mzp,ソフトウェア全般,https://lh3.googleusercontent.com/LgP-85Wkw_KmICzbrv6-SIRgwI0Wp8koaA6maW3TfA93MQ5Sz-Y00Yx9EqCc4hqy_PsoLj0iIotK2VUwP73x,https://mzp.booth.pm,入力メソッド(InputMethod; IM)は、キー入力を受け取り、文字を入力するソフトウェアである。 キーボードから直接入力できない日本語などの入力に用いる。  本書ではmacOSの入力メソッドを作成しながら、入力メソッドの仕組みについて解説する。
https:/techbookfest.org/event/tbf04/circle/19300003,い16,黒曜堂（コクヨウドウ）,黒曜,科学技術,https://lh3.googleusercontent.com/0qDv--FnWizeAaNG990Lwj4VvUBAXZdV903JW3XpcZJk4VOJ1nse572EhDbs3AVXC8ItSXE4x-OrvYenAcJE,https://kokuyouwind.booth.pm/,正規表現・チューリングマシンなどを会話仕立てで扱う「情報ガール チャーチ=チューリングのテーゼ」を新刊として頒布する予定です。他に、既刊の「いろんな言語でライフゲーム」などを頒布します。
https:/techbookfest.org/event/tbf04/circle/12750004,い17,74th（ナナヨンティーエイチ）,74th,ソフトウェア全般,https://lh3.googleusercontent.com/t0vcfbeCpzWSaML3IMESiE3BzVTiG7L8yJr9YtoJhdQWIyGMVuAmrVoV91v0EanQZOVfGptDbHCNUIBeSZOp,https://j74th.com/events/techbookfest3/,Golangを選ぶからには信頼できる性能がほしい。Golangで、性能を取りつつ構造化を図るとどの程度のコストがかかるのかを、実測して見極めて考える本。 (おまけWebWorker活用編)
https:/techbookfest.org/event/tbf04/circle/14530003,い18,親方Project（オヤカタプロジェクト）,親方,ハードウェア全般,https://lh3.googleusercontent.com/6GV-uJfRbDt0AaYT7z-FktBAeScpVj1lOqRv_8tPb4jFrmHq-oLWEZzavg0oihSEurd61PX7bT3cAhZXUYA,http://oyakata2.blog104.fc2.com/,電子工作：レーザープロジェクター自作のために必要なこと全て。特にESP32使ってアナログ出力、描画データ生成。同人誌ノウハウ本：技術同人誌を書いてイベント売りするまでに必要な、ネタだし、執筆、入稿、準備、イベントオペレーション、お金の話を網羅。
https:/techbookfest.org/event/tbf04/circle/14540002,い19,国際ソブリ協会（コクサイソブリキョウカイ）,crs,ソフトウェア全般,https://lh3.googleusercontent.com/MVi99XZFAZRAT8wpaLafbNClon-FeFseAdboVsc_dnQia3kjui4IbDFVZKhNKJTTsTyuvJ6xwl9ebp463SJpaw,http://soburissive.github.io/,"Linux, 電子工作、IoT,GISなどを中心に旬ネタ時事ネタで思いつくまま本を書きます。"
https:/techbookfest.org/event/tbf04/circle/18260003,い20,日本アキバ学会（ニホンアキバガッカイ）,えきどなG,ソフトウェア全般,https://lh3.googleusercontent.com/3i6_sibQLEP5-bxPwrpMLfpiitz_D8wcq6xHV-1dK0DrqGItUqGaREw14eksyOaxZ-3BW6wz6mjzFeKvsl2yZA,,"Arduino, 電子工作, Scratch, サイバーセキュリティ"
https:/techbookfest.org/event/tbf04/circle/21000003,い21,電気通信大学 工学研究部（デンキツウシンダイガク コウガクケンキュウブ）,hnakai,ハードウェア全般,https://lh3.googleusercontent.com/hdaO4EvF5EHOf8jXuRNByp2Ga1TszvGgvc-OZ_GM6C43vTB_fqlMlqJDjMkJA4l_HQfiR4KmMRUiQy4qCtU,http://www.koken.club.uec.ac.jp/,"ソフトウェア・ハードウェアを交えた, 工学研究部の部員による製作・研究成果を掲載した「部報」最新58号を頒布予定です."
